------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Electron Concentration (/cm3)
                   0,        494.367481357
       1.88442206295,        494.367481357
        3.7688441259,        494.367481357
       5.65326618884,        494.367481357
       7.53768825179,        494.367481357
       9.42211031474,        494.367481357
       11.3065323777,        494.367481357
       13.1909544406,        494.367481357
       15.0753765036,        494.367481357
       16.9597985665,        494.367481357
       18.8442206295,        494.367481357
       20.7286426924,        494.367481357
       22.6130647554,        494.367481357
       24.4974868183,        494.367481357
       26.3819088813,        494.367481357
       28.2663309442,        494.367481357
       30.1507530072,        494.367481357
       32.0351750701,        494.367481357
       33.9195971331,        494.367481357
        35.804019196,        494.367481357
        37.688441259,        494.367481357
       39.5728633219,        494.367481357
       41.4572853849,        494.367481357
       43.3417074478,        494.367481357
       45.2261295108,        494.367481357
       47.1105515737,        494.367481357
       48.9949736367,        494.367481357
       50.8793956996,        494.367481357
       52.7638177626,        494.367481357
       54.6482398255,        494.367481357
       56.5326618884,        494.367481357
       58.4170839514,        494.367481357
       60.3015060143,        494.367481357
       62.1859280773,        494.367481357
       64.0703501402,        494.367481357
       65.9547722032,        494.367481357
       67.8391942661,        494.367481357
       69.7236163291,        494.367481357
        71.608038392,        494.367481357
        73.492460455,        494.367481357
       75.3768825179,        494.367481357
       77.2613045809,        494.367481357
       79.1457266438,        494.367481357
       81.0301487068,        494.367481357
       82.9145707697,        494.367481357
       84.7989928327,        494.367481357
       86.6834148956,        494.367481357
       88.5678369586,        494.367481357
       90.4522590215,        494.367481357
       92.3366810845,        494.367481357
       94.2211031474,        494.367481357
       96.1055252104,        494.367481357
       97.9899472733,        494.367481357
       99.8743693363,        494.367481357
       101.758791399,        494.367481357
       103.643213462,        494.367481357
       105.527635525,        494.367481357
       107.412057588,        494.367481357
       109.296479651,        494.367481357
       111.180901714,        494.367481357
       113.065323777,        494.367481357
        114.94974584,        494.367481357
       116.834167903,        494.367481357
       118.718589966,        494.367481357
       120.603012029,        494.367481357
       122.487434092,        494.367481357
       124.371856155,        494.367481357
       126.256278218,        494.367481357
        128.14070028,        494.367481357
       130.025122343,        494.367481357
       131.909544406,        494.367481357
       133.793966469,        494.367481357
       135.678388532,        494.367481357
       137.562810595,        494.367481357
       139.447232658,        494.367481357
       141.331654721,        494.367481357
       143.216076784,        494.367481357
       145.100498847,        494.367481357
        146.98492091,        494.367481357
       148.869342973,        494.367481357
       150.753765036,        494.367481357
       152.638187099,        494.367481357
       154.522609162,        494.367481357
       156.407031225,        494.367481357
       158.291453288,        494.367481357
       160.175875351,        494.367481357
       162.060297414,        494.367481357
       163.944719476,        494.367481357
       165.829141539,        494.367481357
       167.713563602,        494.367481357
       169.597985665,        494.367481357
       171.482407728,        494.367481357
       173.366829791,        494.367481357
       175.251251854,        494.367481357
       177.135673917,        494.367481357
        179.02009598,        494.367481357
       180.904518043,        494.367481357
       182.788940106,        494.367481357
       184.673362169,        494.367481357
       186.557784232,        494.367481357
       188.442206295,        494.367481357
       190.326628358,        494.367481357
       192.211050421,        494.367481357
       194.095472484,        494.367481357
       195.979894547,        494.367481357
        197.86431661,        494.367481357
       199.748738673,        494.367481357
       201.633160735,        494.367481357
       203.517582798,        494.367481357
       205.402004861,        494.367481357
       207.286426924,        494.367481357
       209.170848987,        494.367481357
        211.05527105,        494.367481357
       212.939693113,        494.367481357
       214.824115176,        494.367481357
       216.708537239,        494.367481357
       218.592959302,        494.367481357
       220.477381365,        494.367481357
       222.361803428,        494.367481357
       224.246225491,        494.367481357
       226.130647554,        494.367481357
       228.015069617,        494.367481357
        229.89949168,        494.367481357
       231.783913743,        494.367481357
       233.668335806,        494.367481357
       235.552757869,        494.367481357
       237.437179931,        494.367481357
       239.321601994,        494.367481357
       241.206024057,        494.367481357
        243.09044612,        494.367481357
       244.974868183,        494.367481357
       246.859290246,        494.367481357
       248.743712309,        494.367481357
       250.628134372,        494.367481357
       252.512556435,        494.367481357
       254.396978498,        494.367481357
       256.281400561,        494.367481357
       258.165822624,        494.367481357
       260.050244687,        494.367481357
        261.93466675,        494.367481357
       263.819088813,        494.367481357
       265.703510876,        494.367481357
       267.587932939,        494.367481357
       269.472355002,        494.367481357
       271.356777065,        494.367481357
       273.241199127,        494.367481357
        275.12562119,        494.367481357
       277.010043253,        494.367481357
       278.894465316,        494.367481357
       280.778887379,        494.367481357
       282.663309442,        494.367481357
       284.547731505,        494.367481357
       286.432153568,        494.367481357
       288.316575631,        494.367481357
       290.200997694,        494.367481357
       292.085419757,        494.367481357
        293.96984182,        494.367481357
       295.854263883,        494.367481357
       297.738685946,        494.367481357
       299.623108009,        494.367481357
       301.507530072,        494.367481357
       303.391952135,        494.367481357
       305.276374198,        494.367481357
       307.160796261,        494.367481357
       309.045218324,        494.367481357
       310.929640386,        494.367481357
       312.814062449,        494.367481357
       314.698484512,        494.367481357
       316.582906575,        494.367481357
       318.467328638,        494.367481357
       320.351750701,        494.367481357
       322.236172764,        494.367481357
       324.120594827,        494.367481357
        326.00501689,        494.367481357
       327.889438953,        494.367481357
       329.773861016,        494.367481357
       331.658283079,        494.367481357
       333.542705142,        494.367481357
       335.427127205,        494.367481357
       337.311549268,        494.367481357
       339.195971331,        494.367481357
       341.080393394,        494.367481357
       342.964815457,        494.367481357
        344.84923752,        494.367481357
       346.733659582,        494.367481357
       348.618081645,        494.367481357
       350.502503708,        494.367481357
       352.386925771,        494.367481357
       354.271347834,        494.367481357
       356.155769897,        494.367481357
        358.04019196,        494.367481357
       359.924614023,        494.367481357
       361.809036086,        494.367481357
       363.693458149,        494.367481357
       365.577880212,        494.367481357
       367.462302275,        494.367481357
       369.346724338,        494.367481357
       371.231146401,        494.367481357
