------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=2
------------------------------------------------------------
Position (um), Electric Field (V/cm)
                   0,       -21.3333338723
       1.88442206295,       -21.3333338723
        3.7688441259,       -21.3333338723
       5.65326618884,       -21.3333338723
       7.53768825179,       -21.3333338723
       9.42211031474,       -21.3333338723
       11.3065323777,       -21.3333338723
       13.1909544406,       -21.3333338723
       15.0753765036,       -21.3333338723
       16.9597985665,       -21.3333338723
       18.8442206295,       -21.3333338723
       20.7286426924,       -21.3333338723
       22.6130647554,       -21.3333338723
       24.4974868183,       -21.3333338723
       26.3819088813,       -21.3333338723
       28.2663309442,       -21.3333338723
       30.1507530072,       -21.3333338723
       32.0351750701,       -21.3333338723
       33.9195971331,       -21.3333338723
        35.804019196,       -21.3333338723
        37.688441259,       -21.3333338723
       39.5728633219,       -21.3333338723
       41.4572853849,       -21.3333338723
       43.3417074478,       -21.3333338723
       45.2261295108,       -21.3333338723
       47.1105515737,       -21.3333338723
       48.9949736367,       -21.3333338723
       50.8793956996,       -21.3333338723
       52.7638177626,       -21.3333338723
       54.6482398255,       -21.3333338723
       56.5326618884,       -21.3333338723
       58.4170839514,       -21.3333338723
       60.3015060143,       -21.3333338723
       62.1859280773,       -21.3333338723
       64.0703501402,       -21.3333338723
       65.9547722032,       -21.3333338723
       67.8391942661,       -21.3333338723
       69.7236163291,       -21.3333338723
        71.608038392,       -21.3333338723
        73.492460455,       -21.3333338723
       75.3768825179,       -21.3333338723
       77.2613045809,       -21.3333338723
       79.1457266438,       -21.3333338723
       81.0301487068,       -21.3333338723
       82.9145707697,       -21.3333338723
       84.7989928327,       -21.3333338723
       86.6834148956,       -21.3333338723
       88.5678369586,       -21.3333338723
       90.4522590215,       -21.3333338723
       92.3366810845,       -21.3333338723
       94.2211031474,       -21.3333338723
       96.1055252104,       -21.3333338723
       97.9899472733,       -21.3333338723
       99.8743693363,       -21.3333338723
       101.758791399,       -21.3333338723
       103.643213462,       -21.3333338723
       105.527635525,       -21.3333338723
       107.412057588,       -21.3333338723
       109.296479651,       -21.3333338723
       111.180901714,       -21.3333338723
       113.065323777,       -21.3333338723
        114.94974584,       -21.3333338723
       116.834167903,       -21.3333338723
       118.718589966,       -21.3333338723
       120.603012029,       -21.3333338723
       122.487434092,       -21.3333338723
       124.371856155,       -21.3333338723
       126.256278218,       -21.3333338723
        128.14070028,       -21.3333338723
       130.025122343,       -21.3333338723
       131.909544406,       -21.3333338723
       133.793966469,       -21.3333338723
       135.678388532,       -21.3333338723
       137.562810595,       -21.3333338723
       139.447232658,       -21.3333338723
       141.331654721,       -21.3333338723
       143.216076784,       -21.3333338723
       145.100498847,       -21.3333338723
        146.98492091,       -21.3333338723
       148.869342973,       -21.3333338723
       150.753765036,       -21.3333338723
       152.638187099,       -21.3333338723
       154.522609162,       -21.3333338723
       156.407031225,       -21.3333338723
       158.291453288,       -21.3333338723
       160.175875351,       -21.3333338723
       162.060297414,       -21.3333338723
       163.944719476,       -21.3333338723
       165.829141539,       -21.3333338723
       167.713563602,       -21.3333338723
       169.597985665,       -21.3333338723
       171.482407728,       -21.3333338723
       173.366829791,       -21.3333338723
       175.251251854,       -21.3333338723
       177.135673917,       -21.3333338723
        179.02009598,       -21.3333338723
       180.904518043,       -21.3333338723
       182.788940106,       -21.3333338723
       184.673362169,       -21.3333338723
       186.557784232,       -21.3333338723
       188.442206295,       -21.3333338723
       190.326628358,       -21.3333338723
       192.211050421,       -21.3333338723
       194.095472484,       -21.3333338723
       195.979894547,       -21.3333338723
        197.86431661,       -21.3333338723
       199.748738673,       -21.3333338723
       201.633160735,       -21.3333338723
       203.517582798,       -21.3333338723
       205.402004861,       -21.3333338723
       207.286426924,       -21.3333338723
       209.170848987,       -21.3333338723
        211.05527105,       -21.3333338723
       212.939693113,       -21.3333338723
       214.824115176,       -21.3333338723
       216.708537239,       -21.3333338723
       218.592959302,       -21.3333338723
       220.477381365,       -21.3333338723
       222.361803428,       -21.3333338723
       224.246225491,       -21.3333338723
       226.130647554,       -21.3333338723
       228.015069617,       -21.3333338723
        229.89949168,       -21.3333338723
       231.783913743,       -21.3333338723
       233.668335806,       -21.3333338723
       235.552757869,       -21.3333338723
       237.437179931,       -21.3333338723
       239.321601994,       -21.3333338723
       241.206024057,       -21.3333338723
        243.09044612,       -21.3333338723
       244.974868183,       -21.3333338723
       246.859290246,       -21.3333338723
       248.743712309,       -21.3333338723
       250.628134372,       -21.3333338723
       252.512556435,       -21.3333338723
       254.396978498,       -21.3333338723
       256.281400561,       -21.3333338723
       258.165822624,       -21.3333338723
       260.050244687,       -21.3333338723
        261.93466675,       -21.3333338723
       263.819088813,       -21.3333338723
       265.703510876,       -21.3333338723
