------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=2
------------------------------------------------------------
Position (um), Electron Current (A)
                   0,     1.4041829684e-12
       1.88442206295,     1.4041829684e-12
        3.7688441259,     1.4041829684e-12
       5.65326618884,     1.4041829684e-12
       7.53768825179,     1.4041829684e-12
       9.42211031474,     1.4041829684e-12
       11.3065323777,     1.4041829684e-12
       13.1909544406,     1.4041829684e-12
       15.0753765036,     1.4041829684e-12
       16.9597985665,     1.4041829684e-12
       18.8442206295,     1.4041829684e-12
       20.7286426924,     1.4041829684e-12
       22.6130647554,     1.4041829684e-12
       24.4974868183,     1.4041829684e-12
       26.3819088813,     1.4041829684e-12
       28.2663309442,     1.4041829684e-12
       30.1507530072,     1.4041829684e-12
       32.0351750701,     1.4041829684e-12
       33.9195971331,     1.4041829684e-12
        35.804019196,     1.4041829684e-12
        37.688441259,     1.4041829684e-12
       39.5728633219,     1.4041829684e-12
       41.4572853849,     1.4041829684e-12
       43.3417074478,     1.4041829684e-12
       45.2261295108,     1.4041829684e-12
       47.1105515737,     1.4041829684e-12
       48.9949736367,     1.4041829684e-12
       50.8793956996,     1.4041829684e-12
       52.7638177626,     1.4041829684e-12
       54.6482398255,     1.4041829684e-12
       56.5326618884,     1.4041829684e-12
       58.4170839514,     1.4041829684e-12
       60.3015060143,     1.4041829684e-12
       62.1859280773,     1.4041829684e-12
       64.0703501402,     1.4041829684e-12
       65.9547722032,     1.4041829684e-12
       67.8391942661,     1.4041829684e-12
       69.7236163291,     1.4041829684e-12
        71.608038392,     1.4041829684e-12
        73.492460455,     1.4041829684e-12
       75.3768825179,     1.4041829684e-12
       77.2613045809,     1.4041829684e-12
       79.1457266438,     1.4041829684e-12
       81.0301487068,     1.4041829684e-12
       82.9145707697,     1.4041829684e-12
       84.7989928327,     1.4041829684e-12
       86.6834148956,     1.4041829684e-12
       88.5678369586,     1.4041829684e-12
       90.4522590215,     1.4041829684e-12
       92.3366810845,     1.4041829684e-12
       94.2211031474,     1.4041829684e-12
       96.1055252104,     1.4041829684e-12
       97.9899472733,     1.4041829684e-12
       99.8743693363,     1.4041829684e-12
       101.758791399,     1.4041829684e-12
       103.643213462,     1.4041829684e-12
       105.527635525,     1.4041829684e-12
       107.412057588,     1.4041829684e-12
       109.296479651,     1.4041829684e-12
       111.180901714,     1.4041829684e-12
       113.065323777,     1.4041829684e-12
        114.94974584,     1.4041829684e-12
       116.834167903,     1.4041829684e-12
       118.718589966,     1.4041829684e-12
       120.603012029,     1.4041829684e-12
       122.487434092,     1.4041829684e-12
       124.371856155,     1.4041829684e-12
       126.256278218,     1.4041829684e-12
        128.14070028,     1.4041829684e-12
       130.025122343,     1.4041829684e-12
       131.909544406,     1.4041829684e-12
       133.793966469,     1.4041829684e-12
       135.678388532,     1.4041829684e-12
       137.562810595,     1.4041829684e-12
       139.447232658,     1.4041829684e-12
       141.331654721,     1.4041829684e-12
       143.216076784,     1.4041829684e-12
       145.100498847,     1.4041829684e-12
        146.98492091,     1.4041829684e-12
       148.869342973,     1.4041829684e-12
       150.753765036,     1.4041829684e-12
       152.638187099,     1.4041829684e-12
       154.522609162,     1.4041829684e-12
       156.407031225,     1.4041829684e-12
       158.291453288,     1.4041829684e-12
       160.175875351,     1.4041829684e-12
       162.060297414,     1.4041829684e-12
       163.944719476,     1.4041829684e-12
       165.829141539,     1.4041829684e-12
       167.713563602,     1.4041829684e-12
       169.597985665,     1.4041829684e-12
       171.482407728,     1.4041829684e-12
       173.366829791,     1.4041829684e-12
       175.251251854,     1.4041829684e-12
       177.135673917,     1.4041829684e-12
        179.02009598,     1.4041829684e-12
       180.904518043,     1.4041829684e-12
       182.788940106,     1.4041829684e-12
       184.673362169,     1.4041829684e-12
       186.557784232,     1.4041829684e-12
       188.442206295,     1.4041829684e-12
       190.326628358,     1.4041829684e-12
       192.211050421,     1.4041829684e-12
       194.095472484,     1.4041829684e-12
       195.979894547,     1.4041829684e-12
        197.86431661,     1.4041829684e-12
       199.748738673,     1.4041829684e-12
       201.633160735,     1.4041829684e-12
       203.517582798,     1.4041829684e-12
       205.402004861,     1.4041829684e-12
       207.286426924,     1.4041829684e-12
       209.170848987,     1.4041829684e-12
        211.05527105,     1.4041829684e-12
       212.939693113,     1.4041829684e-12
       214.824115176,     1.4041829684e-12
       216.708537239,     1.4041829684e-12
       218.592959302,     1.4041829684e-12
       220.477381365,     1.4041829684e-12
