------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=2
------------------------------------------------------------
Position (um), Valence Band Potential (eV)
                   0,      -0.122785827757
       1.88442206295,      -0.126805928259
        3.7688441259,      -0.130826028762
       5.65326618884,      -0.134846129264
       7.53768825179,      -0.138866229767
       9.42211031474,      -0.142886330269
       11.3065323777,      -0.146906430772
       13.1909544406,      -0.150926531274
       15.0753765036,      -0.154946631777
       16.9597985665,      -0.158966732279
       18.8442206295,      -0.162986832782
       20.7286426924,      -0.167006933284
       22.6130647554,      -0.171027033787
       24.4974868183,      -0.175047134289
       26.3819088813,      -0.179067234792
       28.2663309442,      -0.183087335294
       30.1507530072,      -0.187107435797
       32.0351750701,      -0.191127536299
       33.9195971331,      -0.195147636802
        35.804019196,      -0.199167737304
        37.688441259,      -0.203187837807
       39.5728633219,      -0.207207938309
       41.4572853849,      -0.211228038812
       43.3417074478,      -0.215248139314
       45.2261295108,      -0.219268239817
       47.1105515737,      -0.223288340319
       48.9949736367,      -0.227308440822
       50.8793956996,      -0.231328541324
       52.7638177626,      -0.235348641827
       54.6482398255,      -0.239368742329
       56.5326618884,      -0.243388842832
       58.4170839514,      -0.247408943335
       60.3015060143,      -0.251429043837
       62.1859280773,       -0.25544914434
       64.0703501402,      -0.259469244842
       65.9547722032,      -0.263489345345
       67.8391942661,      -0.267509445847
       69.7236163291,       -0.27152954635
        71.608038392,      -0.275549646852
        73.492460455,      -0.279569747355
       75.3768825179,      -0.283589847857
       77.2613045809,       -0.28760994836
       79.1457266438,      -0.291630048862
       81.0301487068,      -0.295650149365
       82.9145707697,      -0.299670249867
       84.7989928327,       -0.30369035037
       86.6834148956,      -0.307710450872
       88.5678369586,      -0.311730551375
       90.4522590215,      -0.315750651877
       92.3366810845,       -0.31977075238
       94.2211031474,      -0.323790852882
       96.1055252104,      -0.327810953385
       97.9899472733,      -0.331831053887
       99.8743693363,       -0.33585115439
       101.758791399,      -0.339871254892
       103.643213462,      -0.343891355395
       105.527635525,      -0.347911455897
       107.412057588,        -0.3519315564
       109.296479651,      -0.355951656902
       111.180901714,      -0.359971757405
       113.065323777,      -0.363991857907
        114.94974584,       -0.36801195841
       116.834167903,      -0.372032058912
       118.718589966,      -0.376052159415
       120.603012029,      -0.380072259917
       122.487434092,       -0.38409236042
       124.371856155,      -0.388112460922
       126.256278218,      -0.392132561425
        128.14070028,      -0.396152661927
       130.025122343,       -0.40017276243
       131.909544406,      -0.404192862933
