------------------------------------------------------------
 V1
------------------------------------------------------------
V1 (V), I2 (A)
                   0,          7.34272e-16
                 0.1,            0.0104345
                 0.2,             0.020869
                 0.3,            0.0313034
                 0.4,            0.0417379
                 0.5,            0.0521724
                 0.6,            0.0626069
                 0.7,            0.0730414
                 0.8,            0.0834758

