------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=1
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
                   0,                9e+16
       1.88442206295,                9e+16
        3.7688441259,                9e+16
       5.65326618884,                9e+16
       7.53768825179,                9e+16
       9.42211031474,                9e+16
       11.3065323777,                9e+16
       13.1909544406,                9e+16
       15.0753765036,                9e+16
       16.9597985665,                9e+16
       18.8442206295,                9e+16
       20.7286426924,                9e+16
       22.6130647554,                9e+16
       24.4974868183,                9e+16
       26.3819088813,                9e+16
       28.2663309442,                9e+16
       30.1507530072,                9e+16
       32.0351750701,                9e+16
       33.9195971331,                9e+16
        35.804019196,                9e+16
        37.688441259,                9e+16
       39.5728633219,                9e+16
       41.4572853849,                9e+16
       43.3417074478,                9e+16
       45.2261295108,                9e+16
       47.1105515737,                9e+16
       48.9949736367,                9e+16
       50.8793956996,                9e+16
       52.7638177626,                9e+16
       54.6482398255,                9e+16
       56.5326618884,                9e+16
       58.4170839514,                9e+16
       60.3015060143,                9e+16
       62.1859280773,                9e+16
       64.0703501402,                9e+16
       65.9547722032,                9e+16
       67.8391942661,                9e+16
       69.7236163291,                9e+16
        71.608038392,                9e+16
        73.492460455,                9e+16
       75.3768825179,                9e+16
       77.2613045809,                9e+16
       79.1457266438,                9e+16
       81.0301487068,                9e+16
       82.9145707697,                9e+16
       84.7989928327,                9e+16
       86.6834148956,                9e+16
       88.5678369586,                9e+16
       90.4522590215,                9e+16
       92.3366810845,                9e+16
       94.2211031474,                9e+16
       96.1055252104,                9e+16
       97.9899472733,                9e+16
       99.8743693363,                9e+16
       101.758791399,                9e+16
       103.643213462,                9e+16
       105.527635525,                9e+16
       107.412057588,                9e+16
       109.296479651,                9e+16
       111.180901714,                9e+16
       113.065323777,                9e+16
        114.94974584,                9e+16
       116.834167903,                9e+16
       118.718589966,                9e+16
       120.603012029,                9e+16
       122.487434092,                9e+16
       124.371856155,                9e+16
       126.256278218,                9e+16
        128.14070028,                9e+16
       130.025122343,                9e+16
       131.909544406,                9e+16
       133.793966469,                9e+16
       135.678388532,                9e+16
       137.562810595,                9e+16
       139.447232658,                9e+16
       141.331654721,                9e+16
       143.216076784,                9e+16
       145.100498847,                9e+16
        146.98492091,                9e+16
       148.869342973,                9e+16
       150.753765036,                9e+16
       152.638187099,                9e+16
       154.522609162,                9e+16
       156.407031225,                9e+16
       158.291453288,                9e+16
       160.175875351,                9e+16
       162.060297414,                9e+16
       163.944719476,                9e+16
       165.829141539,                9e+16
       167.713563602,                9e+16
       169.597985665,                9e+16
       171.482407728,                9e+16
       173.366829791,                9e+16
       175.251251854,                9e+16
       177.135673917,                9e+16
        179.02009598,                9e+16
       180.904518043,                9e+16
       182.788940106,                9e+16
       184.673362169,                9e+16
       186.557784232,                9e+16
       188.442206295,                9e+16
       190.326628358,                9e+16
       192.211050421,                9e+16
       194.095472484,                9e+16
       195.979894547,                9e+16
        197.86431661,                9e+16
       199.748738673,                9e+16
       201.633160735,                9e+16
       203.517582798,                9e+16
       205.402004861,                9e+16
       207.286426924,                9e+16
       209.170848987,                9e+16
        211.05527105,                9e+16
       212.939693113,                9e+16
       214.824115176,                9e+16
       216.708537239,                9e+16
       218.592959302,                9e+16
       220.477381365,                9e+16
       222.361803428,                9e+16
       224.246225491,                9e+16
       226.130647554,                9e+16
       228.015069617,                9e+16
        229.89949168,                9e+16
       231.783913743,                9e+16
       233.668335806,                9e+16
       235.552757869,                9e+16
       237.437179931,                9e+16
       239.321601994,                9e+16
       241.206024057,                9e+16
        243.09044612,                9e+16
       244.974868183,                9e+16
       246.859290246,                9e+16
       248.743712309,                9e+16
       250.628134372,                9e+16
       252.512556435,                9e+16
       254.396978498,                9e+16
       256.281400561,                9e+16
       258.165822624,                9e+16
       260.050244687,                9e+16
        261.93466675,                9e+16
       263.819088813,                9e+16
       265.703510876,                9e+16
       267.587932939,                9e+16
       269.472355002,                9e+16
       271.356777065,                9e+16
       273.241199127,                9e+16
        275.12562119,                9e+16
       277.010043253,                9e+16
       278.894465316,                9e+16
       280.778887379,                9e+16
       282.663309442,                9e+16
       284.547731505,                9e+16
       286.432153568,                9e+16
       288.316575631,                9e+16
       290.200997694,                9e+16
       292.085419757,                9e+16
        293.96984182,                9e+16
       295.854263883,                9e+16
       297.738685946,                9e+16
       299.623108009,                9e+16
       301.507530072,                9e+16
       303.391952135,                9e+16
       305.276374198,                9e+16
       307.160796261,                9e+16
       309.045218324,                9e+16
       310.929640386,                9e+16
       312.814062449,                9e+16
       314.698484512,                9e+16
       316.582906575,                9e+16
       318.467328638,                9e+16
       320.351750701,                9e+16
       322.236172764,                9e+16
       324.120594827,                9e+16
        326.00501689,                9e+16
       327.889438953,                9e+16
       329.773861016,                9e+16
       331.658283079,                9e+16
       333.542705142,                9e+16
       335.427127205,                9e+16
       337.311549268,                9e+16
       339.195971331,                9e+16
       341.080393394,                9e+16
       342.964815457,                9e+16
        344.84923752,                9e+16
       346.733659582,                9e+16
       348.618081645,                9e+16
       350.502503708,                9e+16
       352.386925771,                9e+16
       354.271347834,                9e+16
       356.155769897,                9e+16
        358.04019196,                9e+16
       359.924614023,                9e+16
       361.809036086,                9e+16
       363.693458149,                9e+16
       365.577880212,                9e+16
       367.462302275,                9e+16
       369.346724338,                9e+16
       371.231146401,                9e+16
       373.115568464,                9e+16
       374.999990527,                9e+16

