------------------------------------------------------------
 solve vstep=0.1 nsteps=8 elect=1
------------------------------------------------------------
Position (um), Hole Current (A)
                   0,        94.8589107258
       1.88442206295,        94.8589107258
        3.7688441259,        94.8589107258
       5.65326618884,        94.8589107258
       7.53768825179,        94.8589107258
       9.42211031474,        94.8589107258
       11.3065323777,        94.8589107258
       13.1909544406,        94.8589107258
       15.0753765036,        94.8589107258
       16.9597985665,        94.8589107258
       18.8442206295,        94.8589107258
       20.7286426924,        94.8589107258
       22.6130647554,        94.8589107258
       24.4974868183,        94.8589107258
       26.3819088813,        94.8589107258
       28.2663309442,        94.8589107258
       30.1507530072,        94.8589107258
       32.0351750701,        94.8589107258
       33.9195971331,        94.8589107258
        35.804019196,        94.8589107258
        37.688441259,        94.8589107258
       39.5728633219,        94.8589107258
       41.4572853849,        94.8589107258
       43.3417074478,        94.8589107258
       45.2261295108,        94.8589107258
       47.1105515737,        94.8589107258
       48.9949736367,        94.8589107258
       50.8793956996,        94.8589107258
       52.7638177626,        94.8589107258
       54.6482398255,        94.8589107258
       56.5326618884,        94.8589107258
       58.4170839514,        94.8589107258
       60.3015060143,        94.8589107258
       62.1859280773,        94.8589107258
       64.0703501402,        94.8589107258
       65.9547722032,        94.8589107258
       67.8391942661,        94.8589107258
       69.7236163291,        94.8589107258
        71.608038392,        94.8589107258
        73.492460455,        94.8589107258
       75.3768825179,        94.8589107258
       77.2613045809,        94.8589107258
       79.1457266438,        94.8589107258
       81.0301487068,        94.8589107258
       82.9145707697,        94.8589107258
       84.7989928327,        94.8589107258
       86.6834148956,        94.8589107258
       88.5678369586,        94.8589107258
       90.4522590215,        94.8589107258
       92.3366810845,        94.8589107258
       94.2211031474,        94.8589107258
       96.1055252104,        94.8589107258
       97.9899472733,        94.8589107258
       99.8743693363,        94.8589107258
       101.758791399,        94.8589107258
       103.643213462,        94.8589107258
       105.527635525,        94.8589107258
       107.412057588,        94.8589107258
       109.296479651,        94.8589107258
       111.180901714,        94.8589107258
       113.065323777,        94.8589107258
        114.94974584,        94.8589107258
       116.834167903,        94.8589107258
       118.718589966,        94.8589107258
       120.603012029,        94.8589107258
       122.487434092,        94.8589107258
       124.371856155,        94.8589107258
       126.256278218,        94.8589107258
        128.14070028,        94.8589107258
       130.025122343,        94.8589107258
       131.909544406,        94.8589107258
       133.793966469,        94.8589107258
       135.678388532,        94.8589107258
       137.562810595,        94.8589107258
       139.447232658,        94.8589107258
       141.331654721,        94.8589107258
       143.216076784,        94.8589107258
       145.100498847,        94.8589107258
        146.98492091,        94.8589107258
       148.869342973,        94.8589107258
       150.753765036,        94.8589107258
       152.638187099,        94.8589107258
       154.522609162,        94.8589107258
       156.407031225,        94.8589107258
       158.291453288,        94.8589107258
       160.175875351,        94.8589107258
       162.060297414,        94.8589107258
       163.944719476,        94.8589107258
       165.829141539,        94.8589107258
       167.713563602,        94.8589107258
       169.597985665,        94.8589107258
       171.482407728,        94.8589107258
       173.366829791,        94.8589107258
       175.251251854,        94.8589107258
       177.135673917,        94.8589107258
        179.02009598,        94.8589107258
       180.904518043,        94.8589107258
       182.788940106,        94.8589107258
       184.673362169,        94.8589107258
       186.557784232,        94.8589107258
       188.442206295,        94.8589107258
       190.326628358,        94.8589107258
       192.211050421,        94.8589107258
       194.095472484,        94.8589107258
       195.979894547,        94.8589107258
        197.86431661,        94.8589107258
       199.748738673,        94.8589107258
       201.633160735,        94.8589107258
       203.517582798,        94.8589107258
       205.402004861,        94.8589107258
       207.286426924,        94.8589107258
       209.170848987,        94.8589107258
        211.05527105,        94.8589107258
       212.939693113,        94.8589107258
       214.824115176,        94.8589107258
       216.708537239,        94.8589107258
       218.592959302,        94.8589107258
       220.477381365,        94.8589107258
       222.361803428,        94.8589107258
       224.246225491,        94.8589107258
       226.130647554,        94.8589107258
       228.015069617,        94.8589107258
        229.89949168,        94.8589107258
       231.783913743,        94.8589107258
       233.668335806,        94.8589107258
       235.552757869,        94.8589107258
       237.437179931,        94.8589107258
       239.321601994,        94.8589107258
       241.206024057,        94.8589107258
        243.09044612,        94.8589107258
       244.974868183,        94.8589107258
       246.859290246,        94.8589107258
       248.743712309,        94.8589107258
       250.628134372,        94.8589107258
       252.512556435,        94.8589107258
       254.396978498,        94.8589107258
       256.281400561,        94.8589107258
       258.165822624,        94.8589107258
       260.050244687,        94.8589107258
        261.93466675,        94.8589107258
       263.819088813,        94.8589107258
       265.703510876,        94.8589107258
       267.587932939,        94.8589107258
       269.472355002,        94.8589107258
       271.356777065,        94.8589107258
       273.241199127,        94.8589107258
        275.12562119,        94.8589107258
       277.010043253,        94.8589107258
       278.894465316,        94.8589107258
       280.778887379,        94.8589107258
       282.663309442,        94.8589107258
       284.547731505,        94.8589107258
       286.432153568,        94.8589107258
       288.316575631,        94.8589107258
       290.200997694,        94.8589107258
       292.085419757,        94.8589107258
        293.96984182,        94.8589107258
       295.854263883,        94.8589107258
       297.738685946,        94.8589107258
       299.623108009,        94.8589107258
       301.507530072,        94.8589107258
       303.391952135,        94.8589107258
       305.276374198,        94.8589107258
       307.160796261,        94.8589107258
       309.045218324,        94.8589107258
       310.929640386,        94.8589107258
       312.814062449,        94.8589107258
       314.698484512,        94.8589107258
       316.582906575,        94.8589107258
       318.467328638,        94.8589107258
       320.351750701,        94.8589107258
       322.236172764,        94.8589107258
       324.120594827,        94.8589107258
        326.00501689,        94.8589107258
       327.889438953,        94.8589107258
       329.773861016,        94.8589107258
       331.658283079,        94.8589107258
       333.542705142,        94.8589107258
       335.427127205,        94.8589107258
       337.311549268,        94.8589107258
       339.195971331,        94.8589107258
       341.080393394,        94.8589107258
       342.964815457,        94.8589107258
        344.84923752,        94.8589107258
       346.733659582,        94.8589107258
       348.618081645,        94.8589107258
       350.502503708,        94.8589107258
       352.386925771,        94.8589107258
       354.271347834,        94.8589107258
       356.155769897,        94.8589107258
        358.04019196,        94.8589107258
       359.924614023,        94.8589107258
       361.809036086,        94.8589107258
       363.693458149,        94.8589107258
       365.577880212,        94.8589107258
       367.462302275,        94.8589107258
       369.346724338,        94.8589107258
       371.231146401,        94.8589107258
       373.115568464,        94.8589107258
       374.999990527,        94.8589107258

