------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Electron Concentration (/cm3)
                   0,       60255791172000
       1.88442206295,       60255791172000
        3.7688441259,       60255791172000
       5.65326618884,       60255791172000
       7.53768825179,       60255791172000
       9.42211031474,       60255791172000
       11.3065323777,       60255791172000
       13.1909544406,       60255791172000
       15.0753765036,       60255791172000
       16.9597985665,       60255791172000
       18.8442206295,       60255791172000
       20.7286426924,       60255791172000
       22.6130647554,       60255791172000
       24.4974868183,       60255791172000
       26.3819088813,       60255791172000
       28.2663309442,       60255791172000
       30.1507530072,       60255791172000
       32.0351750701,       60255791172000
       33.9195971331,       60255791172000
        35.804019196,       60255791172000
        37.688441259,       60255791172000
       39.5728633219,       60255791172000
       41.4572853849,       60255791172000
       43.3417074478,       60255791172000
       45.2261295108,       60255791172000
       47.1105515737,       60255791172000
       48.9949736367,       60255791172000
       50.8793956996,       60255791172000
       52.7638177626,       60255791172000
       54.6482398255,       60255791172000
       56.5326618884,       60255791172000
       58.4170839514,       60255791172000
       60.3015060143,       60255791172000
       62.1859280773,       60255791172000
       64.0703501402,       60255791172000
       65.9547722032,       60255791172000
       67.8391942661,       60255791172000
       69.7236163291,       60255791172000
        71.608038392,       60255791172000
        73.492460455,       60255791172000
       75.3768825179,       60255791172000
       77.2613045809,       60255791172000
       79.1457266438,       60255791172000
       81.0301487068,       60255791172000
       82.9145707697,       60255791172000
       84.7989928327,       60255791172000
       86.6834148956,       60255791172000
       88.5678369586,       60255791172000
       90.4522590215,       60255791172000
       92.3366810845,       60255791172000
       94.2211031474,       60255791172000
       96.1055252104,       60255791172000
       97.9899472733,       60255791172000
       99.8743693363,       60255791172000
       101.758791399,       60255791172000
       103.643213462,       60255791172000
       105.527635525,       60255791172000
       107.412057588,       60255791172000
       109.296479651,       60255791172000
       111.180901714,       60255791172000
       113.065323777,       60255791172000
        114.94974584,       60255791172000
       116.834167903,       60255791172000
       118.718589966,       60255791172000
       120.603012029,       60255791172000
       122.487434092,       60255791172000
       124.371856155,       60255791172000
       126.256278218,       60255791172000
        128.14070028,       60255791172000
       130.025122343,       60255791172000
       131.909544406,       60255791172000
       133.793966469,       60255791172000
       135.678388532,       60255791172000
       137.562810595,       60255791172000
       139.447232658,       60255791172000
       141.331654721,       60255791172000
       143.216076784,       60255791172000
       145.100498847,       60255791172000
        146.98492091,       60255791172000
       148.869342973,       60255791172000
       150.753765036,       60255791172000
       152.638187099,       60255791172000
       154.522609162,       60255791172000
       156.407031225,       60255791172000
       158.291453288,       60255791172000
