------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
                   0,    9.00602557912e+16
       1.88442206295,    9.00602557912e+16
        3.7688441259,    9.00602557912e+16
       5.65326618884,    9.00602557912e+16
       7.53768825179,    9.00602557912e+16
       9.42211031474,    9.00602557912e+16
       11.3065323777,    9.00602557912e+16
       13.1909544406,    9.00602557912e+16
       15.0753765036,    9.00602557912e+16
       16.9597985665,    9.00602557912e+16
       18.8442206295,    9.00602557912e+16
       20.7286426924,    9.00602557912e+16
       22.6130647554,    9.00602557912e+16
       24.4974868183,    9.00602557912e+16
       26.3819088813,    9.00602557912e+16
       28.2663309442,    9.00602557912e+16
       30.1507530072,    9.00602557912e+16
       32.0351750701,    9.00602557912e+16
       33.9195971331,    9.00602557912e+16
        35.804019196,    9.00602557912e+16
        37.688441259,    9.00602557912e+16
       39.5728633219,    9.00602557912e+16
       41.4572853849,    9.00602557912e+16
       43.3417074478,    9.00602557912e+16
       45.2261295108,    9.00602557912e+16
       47.1105515737,    9.00602557912e+16
       48.9949736367,    9.00602557912e+16
       50.8793956996,    9.00602557912e+16
       52.7638177626,    9.00602557912e+16
       54.6482398255,    9.00602557912e+16
       56.5326618884,    9.00602557912e+16
       58.4170839514,    9.00602557912e+16
       60.3015060143,    9.00602557912e+16
       62.1859280773,    9.00602557912e+16
       64.0703501402,    9.00602557912e+16
       65.9547722032,    9.00602557912e+16
       67.8391942661,    9.00602557912e+16
       69.7236163291,    9.00602557912e+16
        71.608038392,    9.00602557912e+16
        73.492460455,    9.00602557912e+16
       75.3768825179,    9.00602557912e+16
       77.2613045809,    9.00602557912e+16
       79.1457266438,    9.00602557912e+16
       81.0301487068,    9.00602557912e+16
       82.9145707697,    9.00602557912e+16
       84.7989928327,    9.00602557912e+16
       86.6834148956,    9.00602557912e+16
       88.5678369586,    9.00602557912e+16
       90.4522590215,    9.00602557912e+16
       92.3366810845,    9.00602557912e+16
       94.2211031474,    9.00602557912e+16
       96.1055252104,    9.00602557912e+16
       97.9899472733,    9.00602557912e+16
       99.8743693363,    9.00602557912e+16
       101.758791399,    9.00602557912e+16
       103.643213462,    9.00602557912e+16
       105.527635525,    9.00602557912e+16
       107.412057588,    9.00602557912e+16
       109.296479651,    9.00602557912e+16
       111.180901714,    9.00602557912e+16
       113.065323777,    9.00602557912e+16
        114.94974584,    9.00602557912e+16
       116.834167903,    9.00602557912e+16
       118.718589966,    9.00602557912e+16
       120.603012029,    9.00602557912e+16
       122.487434092,    9.00602557912e+16
       124.371856155,    9.00602557912e+16
       126.256278218,    9.00602557912e+16
        128.14070028,    9.00602557912e+16
       130.025122343,    9.00602557912e+16
       131.909544406,    9.00602557912e+16
       133.793966469,    9.00602557912e+16
       135.678388532,    9.00602557912e+16
       137.562810595,    9.00602557912e+16
       139.447232658,    9.00602557912e+16
       141.331654721,    9.00602557912e+16
       143.216076784,    9.00602557912e+16
       145.100498847,    9.00602557912e+16
        146.98492091,    9.00602557912e+16
       148.869342973,    9.00602557912e+16
       150.753765036,    9.00602557912e+16
       152.638187099,    9.00602557912e+16
       154.522609162,    9.00602557912e+16
       156.407031225,    9.00602557912e+16
       158.291453288,    9.00602557912e+16
       160.175875351,    9.00602557912e+16
       162.060297414,    9.00602557912e+16
       163.944719476,    9.00602557912e+16
       165.829141539,    9.00602557912e+16
       167.713563602,    9.00602557912e+16
       169.597985665,    9.00602557912e+16
       171.482407728,    9.00602557912e+16
       173.366829791,    9.00602557912e+16
       175.251251854,    9.00602557912e+16
       177.135673917,    9.00602557912e+16
        179.02009598,    9.00602557912e+16
       180.904518043,    9.00602557912e+16
       182.788940106,    9.00602557912e+16
       184.673362169,    9.00602557912e+16
       186.557784232,    9.00602557912e+16
       188.442206295,    9.00602557912e+16
       190.326628358,    9.00602557912e+16
       192.211050421,    9.00602557912e+16
       194.095472484,    9.00602557912e+16
       195.979894547,    9.00602557912e+16
        197.86431661,    9.00602557912e+16
       199.748738673,    9.00602557912e+16
       201.633160735,    9.00602557912e+16
       203.517582798,    9.00602557912e+16
       205.402004861,    9.00602557912e+16
       207.286426924,    9.00602557912e+16
       209.170848987,    9.00602557912e+16
        211.05527105,    9.00602557912e+16
       212.939693113,    9.00602557912e+16
       214.824115176,    9.00602557912e+16
       216.708537239,    9.00602557912e+16
       218.592959302,    9.00602557912e+16
       220.477381365,    9.00602557912e+16
       222.361803428,    9.00602557912e+16
       224.246225491,    9.00602557912e+16
       226.130647554,    9.00602557912e+16
       228.015069617,    9.00602557912e+16
        229.89949168,    9.00602557912e+16
       231.783913743,    9.00602557912e+16
       233.668335806,    9.00602557912e+16
       235.552757869,    9.00602557912e+16
       237.437179931,    9.00602557912e+16
       239.321601994,    9.00602557912e+16
       241.206024057,    9.00602557912e+16
        243.09044612,    9.00602557912e+16
       244.974868183,    9.00602557912e+16
       246.859290246,    9.00602557912e+16
       248.743712309,    9.00602557912e+16
       250.628134372,    9.00602557912e+16
       252.512556435,    9.00602557912e+16
       254.396978498,    9.00602557912e+16
       256.281400561,    9.00602557912e+16
       258.165822624,    9.00602557912e+16
       260.050244687,    9.00602557912e+16
        261.93466675,    9.00602557912e+16
       263.819088813,    9.00602557912e+16
       265.703510876,    9.00602557912e+16
       267.587932939,    9.00602557912e+16
       269.472355002,    9.00602557912e+16
       271.356777065,    9.00602557912e+16
       273.241199127,    9.00602557912e+16
        275.12562119,    9.00602557912e+16
       277.010043253,    9.00602557912e+16
       278.894465316,    9.00602557912e+16
       280.778887379,    9.00602557912e+16
       282.663309442,    9.00602557912e+16
       284.547731505,    9.00602557912e+16
       286.432153568,    9.00602557912e+16
       288.316575631,    9.00602557912e+16
       290.200997694,    9.00602557912e+16
       292.085419757,    9.00602557912e+16
        293.96984182,    9.00602557912e+16
       295.854263883,    9.00602557912e+16
       297.738685946,    9.00602557912e+16
       299.623108009,    9.00602557912e+16
       301.507530072,    9.00602557912e+16
       303.391952135,    9.00602557912e+16
       305.276374198,    9.00602557912e+16
       307.160796261,    9.00602557912e+16
       309.045218324,    9.00602557912e+16
       310.929640386,    9.00602557912e+16
       312.814062449,    9.00602557912e+16
       314.698484512,    9.00602557912e+16
       316.582906575,    9.00602557912e+16
       318.467328638,    9.00602557912e+16
       320.351750701,    9.00602557912e+16
       322.236172764,    9.00602557912e+16
       324.120594827,    9.00602557912e+16
        326.00501689,    9.00602557912e+16
       327.889438953,    9.00602557912e+16
       329.773861016,    9.00602557912e+16
       331.658283079,    9.00602557912e+16
       333.542705142,    9.00602557912e+16
       335.427127205,    9.00602557912e+16
       337.311549268,    9.00602557912e+16
       339.195971331,    9.00602557912e+16
       341.080393394,    9.00602557912e+16
       342.964815457,    9.00602557912e+16
        344.84923752,    9.00602557912e+16
       346.733659582,    9.00602557912e+16
       348.618081645,    9.00602557912e+16
       350.502503708,    9.00602557912e+16
       352.386925771,    9.00602557912e+16
       354.271347834,    9.00602557912e+16
       356.155769897,    9.00602557912e+16
        358.04019196,    9.00602557912e+16
       359.924614023,    9.00602557912e+16
       361.809036086,    9.00602557912e+16
       363.693458149,    9.00602557912e+16
       365.577880212,    9.00602557912e+16
       367.462302275,    9.00602557912e+16
       369.346724338,    9.00602557912e+16
       371.231146401,    9.00602557912e+16
       373.115568464,    9.00602557912e+16
       374.999990527,    9.00602557912e+16

