------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Quasi Fermi Level (eV)
                   0,   -9.18412042522e-17
       1.88442206295,                    0
        3.7688441259,                    0
       5.65326618884,                    0
       7.53768825179,                    0
       9.42211031474,                    0
       11.3065323777,                    0
       13.1909544406,                    0
       15.0753765036,                    0
       16.9597985665,                    0
       18.8442206295,                    0
       20.7286426924,                    0
       22.6130647554,                    0
       24.4974868183,                    0
       26.3819088813,                    0
       28.2663309442,                    0
       30.1507530072,                    0
       32.0351750701,                    0
       33.9195971331,                    0
        35.804019196,                    0
        37.688441259,                    0
       39.5728633219,                    0
       41.4572853849,                    0
       43.3417074478,                    0
       45.2261295108,                    0
       47.1105515737,                    0
       48.9949736367,                    0
       50.8793956996,                    0
       52.7638177626,                    0
       54.6482398255,                    0
       56.5326618884,                    0
       58.4170839514,                    0
       60.3015060143,                    0
       62.1859280773,                    0
       64.0703501402,                    0
       65.9547722032,                    0
       67.8391942661,                    0
       69.7236163291,                    0
        71.608038392,                    0
        73.492460455,                    0
       75.3768825179,                    0
       77.2613045809,                    0
       79.1457266438,                    0
       81.0301487068,                    0
       82.9145707697,                    0
       84.7989928327,                    0
       86.6834148956,                    0
       88.5678369586,                    0
       90.4522590215,                    0
       92.3366810845,                    0
       94.2211031474,                    0
       96.1055252104,                    0
       97.9899472733,                    0
       99.8743693363,                    0
       101.758791399,                    0
       103.643213462,                    0
       105.527635525,                    0
       107.412057588,                    0
       109.296479651,                    0
       111.180901714,                    0
       113.065323777,                    0
        114.94974584,                    0
       116.834167903,                    0
       118.718589966,                    0
       120.603012029,                    0
       122.487434092,                    0
       124.371856155,                    0
       126.256278218,                    0
        128.14070028,                    0
       130.025122343,                    0
       131.909544406,                    0
       133.793966469,                    0
       135.678388532,                    0
       137.562810595,                    0
       139.447232658,                    0
       141.331654721,                    0
       143.216076784,                    0
       145.100498847,                    0
        146.98492091,                    0
       148.869342973,                    0
       150.753765036,                    0
       152.638187099,                    0
       154.522609162,                    0
       156.407031225,                    0
       158.291453288,                    0
       160.175875351,                    0
       162.060297414,                    0
       163.944719476,                    0
       165.829141539,                    0
       167.713563602,                    0
       169.597985665,                    0
       171.482407728,                    0
       173.366829791,                    0
       175.251251854,                    0
       177.135673917,                    0
        179.02009598,                    0
       180.904518043,                    0
       182.788940106,                    0
       184.673362169,                    0
       186.557784232,                    0
       188.442206295,                    0
       190.326628358,                    0
       192.211050421,                    0
       194.095472484,                    0
       195.979894547,                    0
        197.86431661,                    0
       199.748738673,                    0
       201.633160735,                    0
       203.517582798,                    0
       205.402004861,                    0
       207.286426924,                    0
       209.170848987,                    0
        211.05527105,                    0
       212.939693113,                    0
       214.824115176,                    0
       216.708537239,                    0
       218.592959302,                    0
       220.477381365,                    0
       222.361803428,                    0
       224.246225491,                    0
       226.130647554,                    0
       228.015069617,                    0
        229.89949168,                    0
       231.783913743,                    0
       233.668335806,                    0
       235.552757869,                    0
       237.437179931,                    0
       239.321601994,                    0
       241.206024057,                    0
        243.09044612,                    0
       244.974868183,                    0
       246.859290246,                    0
       248.743712309,                    0
       250.628134372,                    0
       252.512556435,                    0
       254.396978498,                    0
       256.281400561,                    0
       258.165822624,                    0
       260.050244687,                    0
        261.93466675,                    0
       263.819088813,                    0
       265.703510876,                    0
       267.587932939,                    0
       269.472355002,                    0
       271.356777065,                    0
       273.241199127,                    0
        275.12562119,                    0
       277.010043253,                    0
       278.894465316,                    0
       280.778887379,                    0
       282.663309442,                    0
       284.547731505,                    0
       286.432153568,                    0
       288.316575631,                    0
       290.200997694,                    0
       292.085419757,                    0
        293.96984182,                    0
       295.854263883,                    0
       297.738685946,                    0
       299.623108009,                    0
       301.507530072,                    0
       303.391952135,                    0
       305.276374198,                    0
       307.160796261,                    0
       309.045218324,                    0
       310.929640386,                    0
       312.814062449,                    0
       314.698484512,                    0
       316.582906575,                    0
       318.467328638,                    0
       320.351750701,                    0
       322.236172764,                    0
       324.120594827,                    0
        326.00501689,                    0
       327.889438953,                    0
       329.773861016,                    0
       331.658283079,                    0
       333.542705142,                    0
       335.427127205,                    0
       337.311549268,                    0
       339.195971331,                    0
       341.080393394,                    0
       342.964815457,                    0
        344.84923752,                    0
       346.733659582,                    0
       348.618081645,                    0
       350.502503708,                    0
       352.386925771,                    0
       354.271347834,                    0
       356.155769897,                    0
        358.04019196,                    0
       359.924614023,                    0
       361.809036086,                    0
       363.693458149,                    0
       365.577880212,                    0
       367.462302275,                    0
       369.346724338,                    0
       371.231146401,                    0
       373.115568464,                    0
       374.999990527,   -9.18412042522e-17

