------------------------------------------------------------
 solve prev gen=8e21 reg.gen=1 dir.gen=x
------------------------------------------------------------
Position (um), Electron Concentration (/cm3)
                   0,         1102.8197661
   0.000128205124966,        4713198.58699
   0.000256410249933,        9425294.35421
   0.000384615374899,        14014984.6472
   0.000512820499866,        18604674.9401
   0.000641025624832,        23071959.7589
   0.000769230749798,        27539244.5777
   0.000897435874765,        31884123.9224
    0.00102564099973,        36229003.2672
     0.0011538461247,         40451477.138
    0.00128205124966,        44673951.0089
    0.00141025637463,        48774019.4059
     0.0015384614996,         52874087.803
    0.00166666662456,        56851750.7263
    0.00179487174953,        60829413.6497
     0.0019230768745,        64684671.0995
    0.00205128199946,        68539928.5493
    0.00217948712443,        72272780.5256
     0.0023076922494,         76005632.502
    0.00243589737436,         79616079.005
    0.00256410249933,        83226525.5079
    0.00269230762429,        86714566.5376
    0.00282051274926,        90202607.5673
    0.00294871787423,        93568243.1238
    0.00307692299919,        96933878.6804
    0.00320512812416,        100177108.764
    0.00333333324913,        103420338.847
    0.00346153837409,        106541163.458
    0.00358974349906,        109661988.068
    0.00371794862403,        112660407.206
    0.00384615374899,        115658826.343
    0.00397435887396,        118534840.008
    0.00410256399892,        121410853.673
    0.00423076912389,        124164461.864
    0.00435897424886,        126918070.056
    0.00448717937382,        129549272.776
    0.00461538449879,        132180475.495
    0.00474358962376,        134689272.741
    0.00487179474872,        137198069.988
    0.00499999987369,        139584461.762
    0.00512820499866,        141970853.536
    0.00525641012362,        144234839.838
    0.00538461524859,        146498826.139
    0.00551282037355,        148640406.968
    0.00564102549852,        150781987.797
    0.00576923062349,        152801163.154
    0.00589743574845,        154820338.511
    0.00602564087342,        156717108.395
    0.00615384599839,         158613878.28
    0.00628205112335,        160388242.692
    0.00641025624832,        162162607.104
    0.00653846137329,        163814566.043
    0.00666666649825,        165466524.983
    0.00679487162322,        166996078.451
    0.00692307674819,        168525631.919
    0.00705128187315,        169932779.914
    0.00717948699812,        171339927.909
    0.00730769212308,        172624670.433
    0.00743589724805,        173909412.956
    0.00756410237302,        175071750.007
    0.00769230749798,        176234087.058
    0.00782051262295,        177274018.638
    0.00794871774792,        178313950.217
    0.00807692287288,        179231476.324
    0.00820512799785,        180149002.431
    0.00833333312282,        180944123.066
    0.00846153824778,        181739243.701
    0.00858974337275,        182411958.864
    0.00871794849771,        183084674.027
    0.00884615362268,        183634983.718
    0.00897435874765,        184185293.409
    0.00910256387261,        184613197.628
    0.00923076899758,        185041101.847
    0.00935897412255,        185346600.594
    0.00948717924751,        185652099.341
    0.00961538437248,        185835192.615
    0.00974358949745,         186018285.89
    0.00987179462241,        186078973.693
    0.00999999974738,        186139661.496
      0.902833310526,        182622625.036
        1.7956666213,        179105588.575
       2.68849993208,        175721458.915
       3.58133324286,        172337329.255
       4.47416655364,        169081083.926
       5.36699986442,        165824838.597
        6.2598331752,        162691644.922
       7.15266648598,        159558451.247
       8.04549979675,        156543659.172
       8.93833310753,        153528867.096
       9.83116641831,        150628002.289
       10.7239997291,        147727137.482
       11.6168330399,        144935894.695
       12.5096663506,        142144651.907
       13.4024996614,        139458888.584
       14.2953329722,         136773125.26
        15.188166283,         134188855.39
       16.0809995938,        131604585.519
       16.9738329045,        129117973.719
       17.8666662153,         126631361.92
       18.7594995261,        124238717.746
       19.6523328369,        121846073.572
       20.5451661477,        119543846.039
       21.4379994584,        117241618.505
       22.3308327692,        115026390.817
         23.22366608,        112811163.128
       24.1164993908,        110679647.608
       25.0093327015,        108548132.088
       25.9021660123,        106497165.298
       26.7949993231,        104446198.508
       27.6878326339,        102472736.556
       28.5806659447,        100499274.604
       29.4734992554,        98600388.6234
       30.3663325662,        96701502.6428
        31.259165877,        94874374.4478
       32.1519991878,        93047246.2528
       33.0448324986,         91289164.155
       33.9376658093,        89531082.0572
       34.8304991201,        87839436.8414
       35.7233324309,        86147791.6257
       36.6161657417,        84520072.6773
       37.5089990524,         82892353.729
       38.4018323632,        81326145.3082
        39.294665674,        79759936.8875
       40.1874989848,        78252914.5437
       41.0803322956,        76745892.1999
       41.9731656063,        75295819.3223
       42.8659989171,        73845746.4446
       43.7588322279,        72450470.9422
       44.6516655387,        71055195.4398
       45.5444988494,        69712646.5481
       46.4373321602,        68370097.6565
        47.330165471,        67078282.8639
       48.2229987818,        65786468.0714
       49.1158320926,        64543470.1621
       50.0086654033,        63300472.2528
       50.9014987141,        62104446.4614
       51.7943320249,        60908420.6699
       52.6871653357,        59757591.9434
       53.5799986465,        58606763.2169
       54.4728319572,        57499423.5806
        55.365665268,        56392083.9443
       56.2584985788,        55326589.9667
       57.1513318896,        54261095.9891
       58.0441652003,         53235866.343
       58.9369985111,        52210636.6969
       59.8298318219,        51224149.8123
       60.7226651327,        50237662.9277
       61.6154984435,        49288454.7339
       62.5083317542,        48339246.5401
        63.401165065,        47425908.2926
       64.2939983758,        46512570.0451
       65.1868316866,         45633746.235
       66.0796649974,        44754922.4248
       66.9724983081,        43909308.7667
       67.8653316189,        43063695.1087
       68.7581649297,        42250036.6055
       69.6509982405,        41436378.1024
       70.5438315512,        40653467.1825
        71.436664862,        39870556.2627
       72.3294981728,        39117230.9877
       73.2223314836,        38363905.7127
       74.1151647944,         37639048.053
       75.0079981051,        36914190.3933
       75.9008314159,        36216724.5688
       76.7936647267,        35519258.7443
       77.6864980375,         34848149.628
       78.5793313483,        34177040.5116
        79.472164659,        33531292.0929
       80.3649979698,        32885543.6742
       81.2578312806,        32264197.5813
       82.1506645914,        31642851.4883
       83.0434979021,        31044985.5652
       83.9363312129,         30447119.642
       84.8291645237,        29871846.5804
       85.7219978345,        29296573.5188
       86.6148311453,        28743039.5411
        87.507664456,        28189505.5634
       88.4004977668,        27656889.1554
       89.2933310776,        27124272.7474
       90.1861643884,        26611783.4393
       91.0789976992,        26099294.1312
       91.9718310099,        25606171.3243
       92.8646643207,        25113048.5175
       93.7574976315,        24638560.3555
       94.6503309423,        24164072.1935
        95.543164253,        23707514.4763
       96.4359975638,         23250956.759
       97.3288308746,        22811651.8973
       98.2216641854,        22372347.0356
       99.1144974962,        21949643.0457
       100.007330807,        21526939.0559
       100.900164118,        21120208.5919
       101.792997428,        20713478.1278
       102.685830739,        20322117.5505
        103.57866405,        19930756.9731
       104.471497361,         19554185.454
       105.364330672,        19177613.9349
       106.257163982,        18815272.5945
       107.149997293,        18452931.2541
       108.042830604,        18104282.3322
       108.935663915,        17755633.4103
       109.828497225,         17420159.468
       110.721330536,        17084685.5258
       111.614163847,        16761888.6775
       112.506997158,        16439091.8293
       113.399830469,        16128493.0039
       114.292663779,        15817894.1786
        115.18549709,        15519032.4083
       116.078330401,         15220170.638
       116.971163712,        14932602.3744
       117.863997023,        14645034.1107
       118.756830333,        14368332.5661
       119.649663644,        14091631.0215
       120.542496955,        13825385.5361
       121.435330266,        13559140.0506
       122.328163576,        13302955.4824
       123.220996887,        13046770.9143
       124.113830198,        12800267.0533
       125.006663509,        12553763.1923
        125.89949682,        12316574.1957
        126.79233013,        12079385.1991
       127.685163441,        11851159.0485
       128.577996752,        11622932.8979
       129.470830063,         11403330.877
       130.363663373,        11183728.8561
       131.256496684,        10972425.0478
       132.149329995,        10761121.2396
       133.042163306,        10557802.0425
       133.934996617,        10354482.8454
       134.827829927,        10158846.5082
       135.720663238,        9963210.17096
       136.613496549,        9774966.34467
        137.50632986,        9586722.51838
        138.39916317,        9405591.82547
       139.291996481,        9224461.13255
       140.184829792,        9050174.75226
       141.077663103,        8875888.37196
       141.970496414,        8708187.64135
       142.863329724,        8540486.91073
       143.756163035,         8379122.9408
       144.648996346,        8217758.97086
       145.541829657,        8062492.27715
       146.434662967,        7907225.58344
       147.327496278,        7757825.73063
       148.220329589,        7608425.87782
         149.1131629,        7464671.13772
       150.005996211,        7320916.39762
       150.898829521,        7182593.42008
       151.791662832,        7044270.44254
       152.684496143,        6911173.93885
       153.577329454,        6778077.43517
       154.470162764,        6650009.87336
       155.362996075,        6521942.31155
       156.255829386,        6398713.62322
       157.148662697,         6275484.9349
       158.041496008,        6156912.23318
       158.934329318,        6038339.53145
       159.827162629,         5924246.8395
        160.71999594,        5810154.14755
       161.612829251,        5700372.13745
       162.505662561,        5590590.12735
       163.398495872,        5484955.86877
       164.291329183,         5379321.6102
       165.184162494,        5277678.32861
       166.076995805,        5176035.04701
       166.969829115,        5078231.89097
       167.862662426,        4980428.73493
       168.755495737,        4886320.55225
       169.648329048,        4792212.36956
       170.541162358,        4701659.49183
       171.433995669,         4611106.6141
        172.32682898,        4523974.64945
       173.219662291,        4436842.68481
       174.112495602,        4353002.31844
       175.005328912,        4269161.95207
       175.898162223,        4188488.75432
       176.790995534,        4107815.55656
       177.683828845,        4030189.79824
       178.576662155,        3952564.03991
       179.469495466,        3877870.51462
       180.362328777,        3803176.98932
       181.255162088,        3731304.84246
       182.147995399,        3659432.69559
       183.040828709,        3590275.25985
        183.93366202,         3521117.8241
       184.826495331,        3454572.46112
       185.719328642,        3388027.09814
       186.612161952,        3323995.04623
       187.504995263,        3259962.99433
       188.397828574,        3198349.22186
       189.290661885,         3136735.4494
       190.183495196,        3077448.51378
       191.076328506,        3018161.57817
       191.969161817,        2961113.49012
       192.861995128,        2904065.40207
       193.754828439,        2849171.49504
       194.647661749,        2794277.58801
        195.54049506,        2741456.39254
       196.433328371,        2688635.19706
       197.326161682,        2637808.31983
       198.218994993,        2586981.44259
       199.111828303,        2538073.45012
       200.004661614,        2489165.45764
       200.897494925,        2442103.76431
       201.790328236,        2395042.07097
       202.683161546,        2349756.83129
       203.575994857,        2304471.59161
       204.468828168,        2260895.59659
       205.361661479,        2217319.60157
        206.25449479,        2175388.17895
         207.1473281,        2133456.75633
       208.040161411,        2093107.67459
       208.932994722,        2052758.59285
       209.825828033,        2013931.96888
       210.718661343,        1975105.34491
       211.611494654,        1937743.55511
       212.504327965,         1900381.7653
       213.397161276,        1864429.36006
       214.289994587,        1828476.95482
       215.182827897,        1793880.57625
       216.075661208,        1759284.19768
       216.968494519,         1725992.5004
        217.86132783,        1692700.80311
        218.75416114,        1660664.37804
       219.646994451,        1628627.95297
       220.539827762,        1597799.25403
       221.432661073,        1566970.55509
       222.325494384,         1537303.8286
       223.218327694,        1507637.10211
       224.111161005,        1479088.31892
       225.003994316,        1450539.53572
       225.896827627,        1423066.32584
       226.789660937,        1395593.11595
       227.682494248,        1369154.70567
       228.575327559,        1342716.29539
        229.46816087,        1317273.44678
       230.360994181,        1291830.59817
       231.253827491,        1267345.55084
       232.146660802,        1242860.50352
       233.039494113,        1219296.91858
       233.932327424,        1195733.33364
       234.825160734,        1173056.23977
       235.717994045,        1150379.14589
       236.610827356,        1128554.88741
       237.503660667,        1106730.62893
       238.396493978,         1085726.8159
       239.289327288,        1064723.00288
       240.182160599,        1044508.46299
        241.07499391,        1024293.92311
       241.967827221,        1004838.65545
       242.860660531,        985383.387797
       243.753493842,        966658.518296
       244.646327153,        947933.648794
       245.539160464,        929911.387386
       246.431993775,        911889.125977
       247.324827085,        894542.725355
       248.217660396,        877196.324732
       249.110493707,        860500.040654
       250.003327018,        843803.756576
       250.896160328,        827732.809653
       251.788993639,        811661.862731
        252.68182695,        796192.401655
       253.574660261,        780722.940579
       254.467493572,        765832.006722
       255.360326882,        750941.072864
       256.253160193,        736606.566204
       257.145993504,        722272.059544
       258.038826815,        708472.705868
       258.931660126,        694673.352192
       259.824493436,        681388.671522
       260.717326747,        668103.990852
       261.610160058,        655314.267048
       262.502993369,        642524.543244
       263.395826679,        630210.794747
        264.28865999,        617897.046249
       265.181493301,        606040.997904
       266.074326612,        594184.949559
       266.967159923,        582769.005497
       267.859993233,        571353.061436
       268.752826544,        560360.278959
       269.645659855,        549367.496483
       270.538493166,        538781.560918
       271.431326476,        528195.625353
       272.324159787,        518000.825838
       273.216993098,        507806.026323
       274.109826409,        497987.232492
        275.00265972,        488168.438661
        275.89549303,        478711.078188
       276.788326341,        469253.717714
       277.681159652,        460143.754684
       278.573992963,        451033.791653
       279.466826273,        442257.705734
       280.359659584,        433481.619815
       281.252492895,         425026.38619
       282.145326206,        416571.152565
       283.038159517,        408424.222602
       283.930992827,         400277.29264
       284.823826138,        392426.575271
       285.716659449,        384575.857902
        286.60949276,        377009.701672
        287.50232607,        369443.545443
       288.395159381,        362150.721224
       289.287992692,        354857.897005
       290.180826003,        347827.581328
       291.073659314,        340797.265651
       291.966492624,        334019.024642
       292.859325935,        327240.783632
       293.752159246,        320704.557527
       294.644992557,        314168.331422
       295.537825867,        307864.419639
       296.430659178,        301560.507856
       297.323492489,        295479.554595
         298.2163258,        289398.601335
       299.109159111,        283531.581697
       300.001992421,        277664.562059
       300.894825732,        272002.768647
       301.787659043,        266340.975236
       302.680492354,        260876.005237
       303.573325664,        255411.035237
       304.466158975,        250134.777946
       305.358992286,        244858.520655
       306.251825597,        239763.145442
       307.144658908,        234667.770229
       308.037492218,        229745.714916
       308.930325529,        224823.659603
        309.82315884,        220067.619239
       310.715992151,        215311.578876
       311.608825461,        210714.494899
       312.501658772,        206117.410922
       313.394492083,        201672.460681
       314.287325394,         197227.51044
       315.180158705,        192928.097068
       316.072992015,        188628.683696
       316.965825326,        184468.426323
       317.858658637,         180308.16895
       318.751491948,        176280.893229
       319.644325258,        172253.617509
       320.537158569,        168353.346457
        321.42999188,        164453.075405
       322.322825191,        160674.020528
       323.215658502,        156894.965651
       324.108491812,        153231.518355
       325.001325123,         149568.07106
       325.894158434,        146014.794329
       326.786991745,        142461.517598
       327.679825055,        139013.137922
       328.572658366,        135564.758246
       329.465491677,        132216.157794
       330.358324988,        128867.557342
       331.251158299,        125613.766371
       332.143991609,        122359.975399
        333.03682492,        119196.164872
       333.929658231,        116032.354345
       334.822491542,        112953.828769
       335.715324852,        109875.303193
       336.608158163,        106877.493648
       337.500991474,        103879.684104
       338.393824785,        100958.141464
       339.286658096,         98036.598824
       340.179491406,        95186.9871517
       341.072324717,        92337.3754794
       341.965158028,         89555.465592
       342.857991339,        86773.5557046
       343.750824649,        84055.2188975
        344.64365796,        81336.8820904
       345.536491271,        78678.0840095
       346.429324582,        76019.2859286
       347.322157893,        73416.0805827
       348.214991203,        70812.8752368
       349.107824514,        68261.3991413
       350.000657825,        65709.9230459
       350.893491136,         63206.389489
       351.786324446,        60702.8559322
       352.679157757,        58243.5493549
       353.571991068,        55784.2427776
       354.464824379,        53365.5132592
        355.35765769,        50946.7837408
          356.250491,         48565.041582
