------------------------------------------------------------
 solve prev gen=8e21 reg.gen=1 dir.gen=x
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
                   0,                9e+16
   0.000128205124966,    9.00000000086e+16
   0.000256410249933,    9.00000000171e+16
   0.000384615374899,    9.00000000253e+16
   0.000512820499866,    9.00000000336e+16
   0.000641025624832,    9.00000000415e+16
   0.000769230749798,    9.00000000494e+16
   0.000897435874765,    9.00000000569e+16
    0.00102564099973,    9.00000000645e+16
     0.0011538461247,    9.00000000718e+16
    0.00128205124966,     9.0000000079e+16
    0.00141025637463,    9.00000000859e+16
     0.0015384614996,    9.00000000929e+16
    0.00166666662456,    9.00000000995e+16
    0.00179487174953,    9.00000001061e+16
     0.0019230768745,    9.00000001123e+16
    0.00205128199946,    9.00000001186e+16
    0.00217948712443,    9.00000001246e+16
     0.0023076922494,    9.00000001305e+16
    0.00243589737436,    9.00000001362e+16
    0.00256410249933,    9.00000001418e+16
    0.00269230762429,    9.00000001471e+16
    0.00282051274926,    9.00000001525e+16
    0.00294871787423,    9.00000001575e+16
    0.00307692299919,    9.00000001625e+16
    0.00320512812416,    9.00000001671e+16
    0.00333333324913,    9.00000001718e+16
    0.00346153837409,    9.00000001762e+16
    0.00358974349906,    9.00000001806e+16
    0.00371794862403,    9.00000001846e+16
    0.00384615374899,    9.00000001886e+16
    0.00397435887396,    9.00000001924e+16
    0.00410256399892,    9.00000001961e+16
    0.00423076912389,    9.00000001995e+16
    0.00435897424886,    9.00000002029e+16
    0.00448717937382,     9.0000000206e+16
    0.00461538449879,    9.00000002091e+16
    0.00474358962376,    9.00000002119e+16
    0.00487179474872,    9.00000002147e+16
    0.00499999987369,    9.00000002171e+16
    0.00512820499866,    9.00000002196e+16
    0.00525641012362,    9.00000002218e+16
    0.00538461524859,    9.00000002239e+16
    0.00551282037355,    9.00000002257e+16
    0.00564102549852,    9.00000002276e+16
    0.00576923062349,    9.00000002291e+16
    0.00589743574845,    9.00000002306e+16
    0.00602564087342,    9.00000002318e+16
    0.00615384599839,     9.0000000233e+16
    0.00628205112335,    9.00000002339e+16
    0.00641025624832,    9.00000002348e+16
    0.00653846137329,    9.00000002353e+16
    0.00666666649825,    9.00000002359e+16
