------------------------------------------------------------
 solve gen=8e22 reg.gen=1 dir.gen=x
------------------------------------------------------------
Position (um), Electron Concentration (/cm3)
                   0,         1102.8197661
   0.000128205124966,        47113340.8768
   0.000256410249933,        94225578.9338
   0.000384615374899,        140114377.258
   0.000512820499866,        186003175.581
   0.000641025624832,        230668517.992
   0.000769230749798,        275333860.403
   0.000897435874765,         318775730.72
    0.00102564099973,        362217601.037
     0.0011538461247,         404435983.08
    0.00128205124966,        446654365.124
    0.00141025637463,        487649242.712
     0.0015384614996,        528644120.301
    0.00166666662456,        568415477.254
    0.00179487174953,        608186834.207
     0.0019230768745,        646734654.343
    0.00205128199946,        685282474.479
    0.00217948712443,        722606741.616
     0.0023076922494,        759931008.754
    0.00243589737436,        796031706.711
    0.00256410249933,        832132404.668
    0.00269230762429,        867009517.262
    0.00282051274926,        901886629.857
    0.00294871787423,        935540140.907
    0.00307692299919,        969193651.957
    0.00320512812416,        1001623545.28
    0.00333333324913,         1034053438.6
    0.00346153837409,        1065259698.01
    0.00358974349906,        1096465957.43
    0.00371794862403,        1126448566.74
    0.00384615374899,        1156431176.06
    0.00397435887396,        1185190119.11
    0.00410256399892,        1213949062.15
    0.00423076912389,        1241484322.73
    0.00435897424886,        1269019583.31
    0.00448717937382,        1295331145.25
    0.00461538449879,        1321642707.19
    0.00474358962376,         1346730554.3
    0.00487179474872,        1371818401.41
    0.00499999987369,        1395682517.51
    0.00512820499866,        1419546633.61
    0.00525641012362,        1442187002.51
    0.00538461524859,        1464827371.41
    0.00551282037355,        1486243976.93
    0.00564102549852,        1507660582.45
    0.00576923062349,         1527853408.4
    0.00589743574845,        1548046234.35
    0.00602564087342,        1567015264.56
    0.00615384599839,        1585984294.76
    0.00628205112335,        1603729513.02
    0.00641025624832,        1621474731.29
    0.00653846137329,        1637996121.43
    0.00666666649825,        1654517511.57
    0.00679487162322,        1669815057.41
    0.00692307674819,        1685112603.24
    0.00705128187315,        1699186288.58
    0.00717948699812,        1713259973.92
    0.00730769212308,        1726109782.58
    0.00743589724805,        1738959591.24
    0.00756410237302,        1750585507.03
    0.00769230749798,        1762211422.82
    0.00782051262295,        1772613429.56
    0.00794871774792,        1783015436.29
    0.00807692287288,        1792193517.79
    0.00820512799785,        1801371599.29
