------------------------------------------------------------
 solve gen=8e22 reg.gen=1 dir.gen=x
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
                   0,                9e+16
   0.000128205124966,    9.00000000854e+16
   0.000256410249933,    9.00000001708e+16
   0.000384615374899,    9.00000002529e+16
   0.000512820499866,     9.0000000335e+16
   0.000641025624832,    9.00000004138e+16
   0.000769230749798,    9.00000004927e+16
   0.000897435874765,    9.00000005682e+16
    0.00102564099973,    9.00000006438e+16
     0.0011538461247,    9.00000007161e+16
    0.00128205124966,    9.00000007885e+16
    0.00141025637463,    9.00000008575e+16
     0.0015384614996,    9.00000009266e+16
    0.00166666662456,    9.00000009925e+16
    0.00179487174953,    9.00000010583e+16
     0.0019230768745,     9.0000001121e+16
    0.00205128199946,    9.00000011836e+16
    0.00217948712443,     9.0000001243e+16
     0.0023076922494,    9.00000013024e+16
    0.00243589737436,    9.00000013587e+16
    0.00256410249933,    9.00000014149e+16
    0.00269230762429,    9.00000014679e+16
    0.00282051274926,    9.00000015209e+16
    0.00294871787423,    9.00000015708e+16
    0.00307692299919,    9.00000016206e+16
    0.00320512812416,    9.00000016672e+16
    0.00333333324913,    9.00000017139e+16
    0.00346153837409,    9.00000017573e+16
    0.00358974349906,    9.00000018008e+16
    0.00371794862403,    9.00000018411e+16
    0.00384615374899,    9.00000018814e+16
    0.00397435887396,    9.00000019185e+16
    0.00410256399892,    9.00000019556e+16
    0.00423076912389,    9.00000019896e+16
    0.00435897424886,    9.00000020235e+16
    0.00448717937382,    9.00000020543e+16
    0.00461538449879,    9.00000020851e+16
    0.00474358962376,    9.00000021127e+16
    0.00487179474872,    9.00000021403e+16
    0.00499999987369,    9.00000021648e+16
    0.00512820499866,    9.00000021892e+16
    0.00525641012362,    9.00000022105e+16
    0.00538461524859,    9.00000022318e+16
    0.00551282037355,      9.000000225e+16
    0.00564102549852,    9.00000022681e+16
    0.00576923062349,     9.0000002283e+16
    0.00589743574845,     9.0000002298e+16
    0.00602564087342,    9.00000023098e+16
    0.00615384599839,    9.00000023216e+16
    0.00628205112335,    9.00000023302e+16
    0.00641025624832,    9.00000023388e+16
    0.00653846137329,    9.00000023443e+16
    0.00666666649825,    9.00000023498e+16
    0.00679487162322,     9.0000002352e+16
    0.00692307674819,    9.00000023543e+16
    0.00705128187315,    9.00000023534e+16
    0.00717948699812,    9.00000023525e+16
    0.00730769212308,    9.00000023484e+16
    0.00743589724805,    9.00000023443e+16
    0.00756410237302,     9.0000002337e+16
    0.00769230749798,    9.00000023298e+16
    0.00782051262295,    9.00000023193e+16
    0.00794871774792,    9.00000023088e+16
    0.00807692287288,    9.00000022951e+16
    0.00820512799785,    9.00000022814e+16
    0.00833333312282,    9.00000022645e+16
    0.00846153824778,    9.00000022476e+16
    0.00858974337275,    9.00000022275e+16
    0.00871794849771,    9.00000022074e+16
    0.00884615362268,     9.0000002184e+16
    0.00897435874765,    9.00000021607e+16
    0.00910256387261,    9.00000021341e+16
    0.00923076899758,    9.00000021075e+16
    0.00935897412255,    9.00000020776e+16
    0.00948717924751,    9.00000020478e+16
    0.00961538437248,    9.00000020146e+16
    0.00974358949745,    9.00000019815e+16
    0.00987179462241,    9.00000019451e+16
    0.00999999974738,    9.00000019087e+16
       1.18184372014,    9.00000018681e+16
       2.35368744054,    9.00000018275e+16
       3.52553116094,    9.00000018108e+16
       4.69737488133,    9.00000017942e+16
       5.86921860173,    9.00000017779e+16
       7.04106232213,    9.00000017616e+16
       8.21290604252,    9.00000017456e+16
       9.38474976292,    9.00000017295e+16
       10.5565934833,    9.00000017138e+16
       11.7284372037,    9.00000016981e+16
       12.9002809241,    9.00000016826e+16
       14.0721246445,    9.00000016672e+16
       15.2439683649,     9.0000001652e+16
       16.4158120853,    9.00000016369e+16
       17.5876558057,     9.0000001622e+16
       18.7594995261,    9.00000016071e+16
       19.9313432465,    9.00000015925e+16
       21.1031869669,    9.00000015779e+16
       22.2750306873,    9.00000015635e+16
       23.4468744077,    9.00000015492e+16
       24.6187181281,    9.00000015351e+16
       25.7905618485,     9.0000001521e+16
       26.9624055689,    9.00000015071e+16
       28.1342492893,    9.00000014933e+16
       29.3060930097,    9.00000014797e+16
       30.4779367301,    9.00000014661e+16
       31.6497804505,    9.00000014528e+16
       32.8216241709,    9.00000014395e+16
       33.9934678913,    9.00000014264e+16
       35.1653116116,    9.00000014133e+16
        36.337155332,    9.00000014004e+16
       37.5089990524,    9.00000013876e+16
       38.6808427728,     9.0000001375e+16
       39.8526864932,    9.00000013623e+16
       41.0245302136,      9.000000135e+16
        42.196373934,    9.00000013376e+16
       43.3682176544,    9.00000013254e+16
       44.5400613748,    9.00000013132e+16
       45.7119050952,    9.00000013013e+16
       46.8837488156,    9.00000012893e+16
        48.055592536,    9.00000012776e+16
       49.2274362564,    9.00000012659e+16
       50.3992799768,    9.00000012544e+16
       51.5711236972,    9.00000012429e+16
       52.7429674176,    9.00000012316e+16
        53.914811138,    9.00000012203e+16
       55.0866548584,    9.00000012092e+16
       56.2584985788,    9.00000011981e+16
       57.4303422992,    9.00000011872e+16
       58.6021860196,    9.00000011763e+16
         59.77402974,    9.00000011656e+16
       60.9458734604,    9.00000011549e+16
       62.1177171808,    9.00000011444e+16
       63.2895609012,    9.00000011339e+16
       64.4614046216,    9.00000011236e+16
        65.633248342,    9.00000011132e+16
       66.8050920624,    9.00000011031e+16
       67.9769357828,     9.0000001093e+16
       69.1487795032,    9.00000010831e+16
       70.3206232236,    9.00000010731e+16
       71.4924669439,    9.00000010633e+16
       72.6643106643,    9.00000010536e+16
       73.8361543847,     9.0000001044e+16
       75.0079981051,    9.00000010344e+16
       76.1798418255,     9.0000001025e+16
       77.3516855459,    9.00000010156e+16
       78.5235292663,    9.00000010064e+16
       79.6953729867,    9.00000009971e+16
       80.8672167071,    9.00000009881e+16
       82.0390604275,     9.0000000979e+16
       83.2109041479,    9.00000009701e+16
       84.3827478683,    9.00000009612e+16
       85.5545915887,    9.00000009524e+16
       86.7264353091,    9.00000009437e+16
       87.8982790295,    9.00000009351e+16
       89.0701227499,    9.00000009265e+16
       90.2419664703,    9.00000009181e+16
       91.4138101907,    9.00000009097e+16
       92.5856539111,    9.00000009014e+16
       93.7574976315,    9.00000008931e+16
       94.9293413519,     9.0000000885e+16
       96.1011850723,    9.00000008769e+16
       97.2730287927,    9.00000008689e+16
       98.4448725131,    9.00000008609e+16
       99.6167162335,    9.00000008531e+16
       100.788559954,    9.00000008453e+16
       101.960403674,    9.00000008376e+16
       103.132247395,    9.00000008299e+16
       104.304091115,    9.00000008224e+16
       105.475934835,    9.00000008148e+16
       106.647778556,    9.00000008074e+16
       107.819622276,       9.00000008e+16
       108.991465997,    9.00000007927e+16
       110.163309717,    9.00000007854e+16
       111.335153437,    9.00000007783e+16
       112.506997158,    9.00000007711e+16
       113.678840878,    9.00000007641e+16
       114.850684599,    9.00000007571e+16
       116.022528319,    9.00000007502e+16
       117.194372039,    9.00000007433e+16
        118.36621576,    9.00000007366e+16
        119.53805948,    9.00000007298e+16
       120.709903201,    9.00000007232e+16
       121.881746921,    9.00000007166e+16
       123.053590641,      9.000000071e+16
       124.225434362,    9.00000007035e+16
       125.397278082,    9.00000006971e+16
       126.569121803,    9.00000006907e+16
       127.740965523,    9.00000006844e+16
       128.912809243,    9.00000006782e+16
       130.084652964,     9.0000000672e+16
       131.256496684,    9.00000006658e+16
       132.428340405,    9.00000006598e+16
       133.600184125,    9.00000006537e+16
       134.772027845,    9.00000006478e+16
       135.943871566,    9.00000006418e+16
       137.115715286,     9.0000000636e+16
       138.287559007,    9.00000006301e+16
       139.459402727,    9.00000006244e+16
       140.631246447,    9.00000006187e+16
       141.803090168,    9.00000006131e+16
       142.974933888,    9.00000006074e+16
       144.146777609,    9.00000006019e+16
       145.318621329,    9.00000005964e+16
       146.490465049,     9.0000000591e+16
        147.66230877,    9.00000005855e+16
        148.83415249,    9.00000005802e+16
       150.005996211,    9.00000005749e+16
       151.177839931,    9.00000005697e+16
       152.349683651,    9.00000005644e+16
       153.521527372,    9.00000005593e+16
       154.693371092,    9.00000005542e+16
       155.865214813,    9.00000005491e+16
       157.037058533,    9.00000005441e+16
       158.208902253,    9.00000005391e+16
       159.380745974,    9.00000005342e+16
       160.552589694,    9.00000005293e+16
       161.724433414,    9.00000005245e+16
       162.896277135,    9.00000005197e+16
       164.068120855,    9.00000005149e+16
       165.239964576,    9.00000005102e+16
       166.411808296,    9.00000005056e+16
       167.583652016,     9.0000000501e+16
       168.755495737,    9.00000004964e+16
       169.927339457,    9.00000004918e+16
       171.099183178,    9.00000004873e+16
       172.271026898,    9.00000004829e+16
       173.442870618,    9.00000004785e+16
       174.614714339,    9.00000004741e+16
       175.786558059,    9.00000004698e+16
        176.95840178,    9.00000004655e+16
         178.1302455,    9.00000004612e+16
        179.30208922,     9.0000000457e+16
       180.473932941,    9.00000004528e+16
       181.645776661,    9.00000004487e+16
       182.817620382,    9.00000004446e+16
       183.989464102,    9.00000004405e+16
       185.161307822,    9.00000004365e+16
       186.333151543,    9.00000004325e+16
       187.504995263,    9.00000004286e+16
       188.676838984,    9.00000004247e+16
       189.848682704,    9.00000004208e+16
       191.020526424,    9.00000004169e+16
       192.192370145,    9.00000004131e+16
       193.364213865,    9.00000004094e+16
       194.536057586,    9.00000004056e+16
       195.707901306,    9.00000004019e+16
       196.879745026,    9.00000003982e+16
       198.051588747,    9.00000003946e+16
       199.223432467,     9.0000000391e+16
       200.395276188,    9.00000003874e+16
       201.567119908,    9.00000003839e+16
       202.738963628,    9.00000003804e+16
       203.910807349,    9.00000003769e+16
       205.082651069,    9.00000003735e+16
        206.25449479,      9.000000037e+16
        207.42633851,    9.00000003667e+16
        208.59818223,    9.00000003633e+16
       209.770025951,      9.000000036e+16
       210.941869671,    9.00000003567e+16
       212.113713392,    9.00000003534e+16
       213.285557112,    9.00000003502e+16
       214.457400832,     9.0000000347e+16
       215.629244553,    9.00000003438e+16
       216.801088273,    9.00000003407e+16
       217.972931994,    9.00000003376e+16
       219.144775714,    9.00000003345e+16
       220.316619434,    9.00000003314e+16
       221.488463155,    9.00000003284e+16
       222.660306875,    9.00000003254e+16
       223.832150596,    9.00000003224e+16
       225.003994316,    9.00000003195e+16
       226.175838036,    9.00000003166e+16
       227.347681757,    9.00000003137e+16
       228.519525477,    9.00000003108e+16
       229.691369198,     9.0000000308e+16
       230.863212918,    9.00000003052e+16
       232.035056638,    9.00000003023e+16
       233.206900359,    9.00000002996e+16
       234.378744079,    9.00000002968e+16
       235.550587799,    9.00000002941e+16
        236.72243152,    9.00000002914e+16
        237.89427524,    9.00000002888e+16
       239.066118961,    9.00000002861e+16
       240.237962681,    9.00000002835e+16
