------------------------------------------------------------
 solve gen=8e22 reg.gen=1 dir.gen=x
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
                   0,                9e+16
   0.000128205124966,    9.00000000854e+16
   0.000256410249933,    9.00000001707e+16
   0.000384615374899,    9.00000002528e+16
   0.000512820499866,    9.00000003349e+16
   0.000641025624832,    9.00000004137e+16
   0.000769230749798,    9.00000004925e+16
   0.000897435874765,    9.00000005681e+16
    0.00102564099973,    9.00000006436e+16
     0.0011538461247,    9.00000007159e+16
    0.00128205124966,    9.00000007883e+16
    0.00141025637463,    9.00000008573e+16
     0.0015384614996,    9.00000009264e+16
    0.00166666662456,    9.00000009922e+16
    0.00179487174953,    9.00000010581e+16
     0.0019230768745,    9.00000011207e+16
    0.00205128199946,    9.00000011833e+16
    0.00217948712443,    9.00000012427e+16
     0.0023076922494,    9.00000013021e+16
    0.00243589737436,    9.00000013583e+16
    0.00256410249933,    9.00000014146e+16
    0.00269230762429,    9.00000014676e+16
    0.00282051274926,    9.00000015206e+16
    0.00294871787423,    9.00000015704e+16
    0.00307692299919,    9.00000016202e+16
    0.00320512812416,    9.00000016669e+16
    0.00333333324913,    9.00000017135e+16
    0.00346153837409,     9.0000001757e+16
    0.00358974349906,    9.00000018004e+16
    0.00371794862403,    9.00000018407e+16
    0.00384615374899,     9.0000001881e+16
    0.00397435887396,    9.00000019181e+16
    0.00410256399892,    9.00000019552e+16
    0.00423076912389,    9.00000019892e+16
    0.00435897424886,    9.00000020231e+16
    0.00448717937382,    9.00000020539e+16
    0.00461538449879,    9.00000020847e+16
    0.00474358962376,    9.00000021123e+16
    0.00487179474872,    9.00000021399e+16
    0.00499999987369,    9.00000021644e+16
    0.00512820499866,    9.00000021889e+16
    0.00525641012362,    9.00000022102e+16
    0.00538461524859,    9.00000022314e+16
    0.00551282037355,    9.00000022496e+16
    0.00564102549852,    9.00000022677e+16
    0.00576923062349,    9.00000022827e+16
    0.00589743574845,    9.00000022976e+16
    0.00602564087342,    9.00000023094e+16
    0.00615384599839,    9.00000023212e+16
    0.00628205112335,    9.00000023299e+16
    0.00641025624832,    9.00000023385e+16
    0.00653846137329,    9.00000023439e+16
    0.00666666649825,    9.00000023494e+16
    0.00679487162322,    9.00000023517e+16
    0.00692307674819,     9.0000002354e+16
    0.00705128187315,    9.00000023531e+16
    0.00717948699812,    9.00000023522e+16
    0.00730769212308,    9.00000023481e+16
    0.00743589724805,     9.0000002344e+16
    0.00756410237302,    9.00000023367e+16
    0.00769230749798,    9.00000023294e+16
    0.00782051262295,    9.00000023189e+16
    0.00794871774792,    9.00000023085e+16
    0.00807692287288,    9.00000022948e+16
    0.00820512799785,    9.00000022811e+16
    0.00833333312282,    9.00000022642e+16
    0.00846153824778,    9.00000022473e+16
    0.00858974337275,    9.00000022272e+16
    0.00871794849771,     9.0000002207e+16
    0.00884615362268,    9.00000021837e+16
    0.00897435874765,    9.00000021603e+16
    0.00910256387261,    9.00000021337e+16
    0.00923076899758,    9.00000021071e+16
    0.00935897412255,    9.00000020773e+16
    0.00948717924751,    9.00000020474e+16
    0.00961538437248,    9.00000020143e+16
    0.00974358949745,    9.00000019812e+16
    0.00987179462241,    9.00000019448e+16
    0.00999999974738,    9.00000019084e+16
       1.18184372014,    9.00000017638e+16
       2.35368744054,    9.00000016191e+16
       3.52553116094,    9.00000015139e+16
       4.69737488133,    9.00000014087e+16
       5.86921860173,    9.00000013171e+16
       7.04106232213,    9.00000012256e+16
       8.21290604252,    9.00000011459e+16
       9.38474976292,    9.00000010663e+16
       10.5565934833,     9.0000000997e+16
       11.7284372037,    9.00000009277e+16
       12.9002809241,    9.00000008674e+16
       14.0721246445,    9.00000008071e+16
       15.2439683649,    9.00000007546e+16
       16.4158120853,    9.00000007022e+16
       17.5876558057,    9.00000006565e+16
       18.7594995261,    9.00000006109e+16
       19.9313432465,    9.00000005712e+16
       21.1031869669,    9.00000005315e+16
       22.2750306873,     9.0000000497e+16
       23.4468744077,    9.00000004624e+16
       24.6187181281,    9.00000004324e+16
       25.7905618485,    9.00000004023e+16
       26.9624055689,    9.00000003762e+16
       28.1342492893,      9.000000035e+16
       29.3060930097,    9.00000003273e+16
       30.4779367301,    9.00000003045e+16
       31.6497804505,    9.00000002847e+16
       32.8216241709,    9.00000002649e+16
       33.9934678913,    9.00000002477e+16
       35.1653116116,    9.00000002305e+16
        36.337155332,    9.00000002155e+16
       37.5089990524,    9.00000002005e+16
       38.6808427728,    9.00000001875e+16
       39.8526864932,    9.00000001745e+16
       41.0245302136,    9.00000001631e+16
        42.196373934,    9.00000001518e+16
       43.3682176544,    9.00000001419e+16
       44.5400613748,    9.00000001321e+16
       45.7119050952,    9.00000001235e+16
       46.8837488156,    9.00000001149e+16
        48.055592536,    9.00000001074e+16
       49.2274362564,       9.00000001e+16
       50.3992799768,    9.00000000935e+16
       51.5711236972,     9.0000000087e+16
       52.7429674176,    9.00000000813e+16
        53.914811138,    9.00000000757e+16
       55.0866548584,    9.00000000708e+16
       56.2584985788,    9.00000000658e+16
       57.4303422992,    9.00000000616e+16
       58.6021860196,    9.00000000573e+16
         59.77402974,    9.00000000536e+16
       60.9458734604,    9.00000000498e+16
       62.1177171808,    9.00000000466e+16
       63.2895609012,    9.00000000434e+16
       64.4614046216,    9.00000000405e+16
        65.633248342,    9.00000000377e+16
       66.8050920624,    9.00000000353e+16
       67.9769357828,    9.00000000328e+16
       69.1487795032,    9.00000000307e+16
       70.3206232236,    9.00000000286e+16
       71.4924669439,    9.00000000267e+16
       72.6643106643,    9.00000000248e+16
       73.8361543847,    9.00000000232e+16
       75.0079981051,    9.00000000216e+16
       76.1798418255,    9.00000000202e+16
       77.3516855459,    9.00000000188e+16
       78.5235292663,    9.00000000176e+16
       79.6953729867,    9.00000000164e+16
       80.8672167071,    9.00000000153e+16
       82.0390604275,    9.00000000142e+16
       83.2109041479,    9.00000000133e+16
       84.3827478683,    9.00000000124e+16
       85.5545915887,    9.00000000116e+16
       86.7264353091,    9.00000000108e+16
       87.8982790295,    9.00000000101e+16
       89.0701227499,    9.00000000094e+16
       90.2419664703,    9.00000000088e+16
       91.4138101907,    9.00000000082e+16
       92.5856539111,    9.00000000076e+16
       93.7574976315,    9.00000000071e+16
       94.9293413519,    9.00000000066e+16
       96.1011850723,    9.00000000062e+16
       97.2730287927,    9.00000000058e+16
       98.4448725131,    9.00000000054e+16
       99.6167162335,     9.0000000005e+16
       100.788559954,    9.00000000047e+16
       101.960403674,    9.00000000044e+16
       103.132247395,    9.00000000041e+16
       104.304091115,    9.00000000038e+16
       105.475934835,    9.00000000035e+16
       106.647778556,    9.00000000033e+16
       107.819622276,    9.00000000031e+16
       108.991465997,    9.00000000029e+16
       110.163309717,    9.00000000027e+16
       111.335153437,    9.00000000025e+16
       112.506997158,    9.00000000023e+16
       113.678840878,    9.00000000022e+16
       114.850684599,     9.0000000002e+16
       116.022528319,    9.00000000019e+16
       117.194372039,    9.00000000018e+16
        118.36621576,    9.00000000016e+16
        119.53805948,    9.00000000015e+16
       120.709903201,    9.00000000014e+16
       121.881746921,    9.00000000013e+16
       123.053590641,    9.00000000012e+16
       124.225434362,    9.00000000012e+16
       125.397278082,    9.00000000011e+16
       126.569121803,     9.0000000001e+16
       127.740965523,    9.00000000009e+16
       128.912809243,    9.00000000009e+16
       130.084652964,    9.00000000008e+16
       131.256496684,    9.00000000008e+16
       132.428340405,    9.00000000007e+16
       133.600184125,    9.00000000007e+16
       134.772027845,    9.00000000006e+16
       135.943871566,    9.00000000006e+16
       137.115715286,    9.00000000005e+16
       138.287559007,    9.00000000005e+16
       139.459402727,    9.00000000005e+16
       140.631246447,    9.00000000004e+16
       141.803090168,    9.00000000004e+16
       142.974933888,    9.00000000004e+16
       144.146777609,    9.00000000004e+16
       145.318621329,    9.00000000003e+16
       146.490465049,    9.00000000003e+16
        147.66230877,    9.00000000003e+16
        148.83415249,    9.00000000003e+16
       150.005996211,    9.00000000003e+16
       151.177839931,    9.00000000002e+16
       152.349683651,    9.00000000002e+16
       153.521527372,    9.00000000002e+16
       154.693371092,    9.00000000002e+16
       155.865214813,    9.00000000002e+16
       157.037058533,    9.00000000002e+16
       158.208902253,    9.00000000002e+16
       159.380745974,    9.00000000001e+16
       160.552589694,    9.00000000001e+16
       161.724433414,    9.00000000001e+16
       162.896277135,    9.00000000001e+16
       164.068120855,    9.00000000001e+16
       165.239964576,    9.00000000001e+16
       166.411808296,    9.00000000001e+16
       167.583652016,    9.00000000001e+16
       168.755495737,    9.00000000001e+16
       169.927339457,    9.00000000001e+16
       171.099183178,    9.00000000001e+16
       172.271026898,    9.00000000001e+16
       173.442870618,    9.00000000001e+16
       174.614714339,    9.00000000001e+16
       175.786558059,    9.00000000001e+16
        176.95840178,    9.00000000001e+16
         178.1302455,                9e+16
        179.30208922,                9e+16
       180.473932941,                9e+16
       181.645776661,                9e+16
       182.817620382,                9e+16
       183.989464102,                9e+16
       185.161307822,                9e+16
       186.333151543,                9e+16
       187.504995263,                9e+16
       188.676838984,                9e+16
       189.848682704,                9e+16
       191.020526424,                9e+16
       192.192370145,                9e+16
       193.364213865,                9e+16
       194.536057586,                9e+16
       195.707901306,                9e+16
       196.879745026,                9e+16
       198.051588747,                9e+16
       199.223432467,                9e+16
       200.395276188,                9e+16
       201.567119908,                9e+16
       202.738963628,                9e+16
       203.910807349,                9e+16
       205.082651069,                9e+16
        206.25449479,                9e+16
        207.42633851,                9e+16
        208.59818223,                9e+16
       209.770025951,                9e+16
       210.941869671,                9e+16
       212.113713392,                9e+16
       213.285557112,                9e+16
       214.457400832,                9e+16
       215.629244553,                9e+16
       216.801088273,                9e+16
       217.972931994,                9e+16
       219.144775714,                9e+16
       220.316619434,                9e+16
       221.488463155,                9e+16
       222.660306875,                9e+16
       223.832150596,                9e+16
       225.003994316,                9e+16
       226.175838036,                9e+16
       227.347681757,                9e+16
       228.519525477,                9e+16
       229.691369198,                9e+16
       230.863212918,                9e+16
       232.035056638,                9e+16
       233.206900359,                9e+16
       234.378744079,                9e+16
       235.550587799,                9e+16
        236.72243152,                9e+16
        237.89427524,                9e+16
       239.066118961,                9e+16
       240.237962681,                9e+16
       241.409806401,                9e+16
       242.581650122,                9e+16
       243.753493842,                9e+16
       244.925337563,                9e+16
       246.097181283,                9e+16
       247.269025003,                9e+16
       248.440868724,                9e+16
       249.612712444,                9e+16
       250.784556165,                9e+16
       251.956399885,                9e+16
       253.128243605,                9e+16
       254.300087326,                9e+16
       255.471931046,                9e+16
       256.643774767,                9e+16
       257.815618487,                9e+16
       258.987462207,                9e+16
       260.159305928,                9e+16
       261.331149648,                9e+16
       262.502993369,                9e+16
       263.674837089,                9e+16
